entity,type,link,KEGG_ID,alias,credibilities
PARP4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:143,hsa:143,"PARP4, ADPRTL1, ARTD4, PARP-4, PARPL, PH5P, VAULT3, VPARP, VWA5C, p193; poly(ADP-ribose) polymerase family member 4
",4
CS,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1431,hsa:1431,"CS; citrate synthase
",25
MAPK14,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1432,hsa:1432,"MAPK14, CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA; mitogen-activated protein kinase 14",539
CSE1L,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1434,hsa:1434,"CSE1L, CAS, CSE1, XPO2; chromosome segregation 1 like
",3
PSMA8,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:143471,hsa:143471,"PSMA8, PSMA7L; proteasome 20S subunit alpha 8",2
OR52B4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:143496,hsa:143496,"OR52B4, OR11-3; olfactory receptor family 52 subfamily B member 4
",22
CSF1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1435,hsa:1435,"CSF1, CSF-1, MCSF; colony stimulating factor 1",94
OR52I2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:143502,hsa:143502,"OR52I2, OR11-12, OR52I1; olfactory receptor family 52 subfamily I member 2
",22
OR51E1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:143503,hsa:143503,"OR51E1, D-GPCR, DGPCR, GPR136, GPR164, OR51E1P, OR52A3P, POGR, PSGR2; olfactory receptor family 51 subfamily E member 1
",22
CSF1R,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1436,hsa:1436,"CSF1R, BANDDOS, C-FMS, CD115, CSF-1R, CSFR, FIM2, FMS, HDLS, HDLS1, M-CSF-R; colony stimulating factor 1 receptor",228
SESN3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:143686,hsa:143686,"SESN3, SEST3; sestrin 3",9
CSF2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1437,hsa:1437,"CSF2, CSF, GMCSF; colony stimulating factor 2",74
CSF2RA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1438,hsa:1438,"CSF2RA, CD116, CDw116, CSF2R, CSF2RAX, CSF2RAY, CSF2RX, CSF2RY, GM-CSF-R-alpha, GMCSFR, GMCSFR-alpha, GMR, GMR-alpha, SMDP4, alphaGMR; colony stimulating factor 2 receptor subunit alpha",61
CSF2RB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1439,hsa:1439,"CSF2RB, CD131, CDw131, IL3RB, IL5RB, SMDP5, betaGMR; colony stimulating factor 2 receptor subunit beta",105
CSF3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1440,hsa:1440,"CSF3, C17orf33, CSF3OS, GCSF, G-CSF; colony stimulating factor 3
",54
CSF3R,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1441,hsa:1441,"CSF3R, CD114, GCSFR, SCN7; colony stimulating factor 3 receptor",64
OR10A5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:144124,hsa:144124,"OR10A5, JCG6, OR10A1, OR11-403; olfactory receptor family 10 subfamily A member 5
",22
OR2AG1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:144125,hsa:144125,"OR2AG1, OR11-79, OR2AG3; olfactory receptor family 2 subfamily AG member 1
",22
PRICKLE1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:144165,hsa:144165,"PRICKLE1, EPM1B, RILP; prickle planar cell polarity protein 1",5
AMDHD1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:144193,hsa:144193,"AMDHD1, HMFT1272; amidohydrolase domain containing 1
",2
CSH1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1442,hsa:1442,"CSH1, CS-1, CSA, CSMT, GHB3, PL, hCS-1, hCS-A; chorionic somatomammotropin hormone 1",51
CSH2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1443,hsa:1443,"CSH2, CS-2, CSB, GHB1, PL, hCS-B; chorionic somatomammotropin hormone 2",51
CSK,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1445,hsa:1445,"CSK; C-terminal Src kinase
",2
CSN2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1447,hsa:1447,"CSN2, CASB, PDC213; casein beta
",4
LACC1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:144811,hsa:144811,"LACC1, C13orf31, FAMIN, JUVAR; laccase domain containing 1",63
HNRNPA1L2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:144983,hsa:144983,HNRNPA1L2; heterogeneous nuclear ribonucleoprotein A1 like 2,1
CSNK1A1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1452,hsa:1452,"CSNK1A1, CK1, CK1a, CKIa, HEL-S-77p, HLCDGP1, PRO2975; casein kinase 1 alpha 1",11
RDH12,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:145226,hsa:145226,"RDH12, LCA13, RP53, SDR7C2; retinol dehydrogenase 12",16
CSNK1D,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1453,hsa:1453,"CSNK1D, ASPS, CKI-delta, CKId, CKIdelta, FASPS2, HCKID; casein kinase 1 delta
",17
CSNK1E,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1454,hsa:1454,"CSNK1E, CKIe, CKIepsilon, HCKIE; casein kinase 1 epsilon
",25
CSNK1G2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1455,hsa:1455,"CSNK1G2, CK1g2; casein kinase 1 gamma 2",7
CSNK1G3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1456,hsa:1456,"CSNK1G3, CKI-gamma_3, CSNK1G3L; casein kinase 1 gamma 3",7
CSNK2A1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1457,hsa:1457,"CSNK2A1, CK2A1, CKII, Cka1, Cka2, OCNDS; casein kinase 2 alpha 1",44
CSNK2A2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1459,hsa:1459,"CSNK2A2, CK2A2, CK2alpha', CSNK2A1; casein kinase 2 alpha 2",44
NRG4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:145957,hsa:145957,"NRG4, HRG4; neuregulin 4
",2
ADRA1D,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:146,hsa:146,"ADRA1D, ADRA1, ADRA1A, ADRA1R, ALPHA1, DAR, dJ779E11.2; adrenoceptor alpha 1D",22
CSNK2B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1460,hsa:1460,"CSNK2B, CK2B, CK2N, CSK2B, Ckb1, Ckb2, G5A, POBINDS; casein kinase 2 beta",44
ZFP90,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:146198,hsa:146198,"ZFP90, FIK, NK10, ZNF756, zfp-90; ZFP90 zinc finger protein",3
IL34,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:146433,hsa:146433,"IL34, C16orf77, IL-34; interleukin 34
",2
ZNF597,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:146434,hsa:146434,"ZNF597, HIT-4; zinc finger protein 597",3
ZNF785,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:146540,hsa:146540,"ZNF785, ZNF688; zinc finger protein 785",3
ZNF688,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:146542,hsa:146542,ZNF688; zinc finger protein 688,3
MGAT5B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:146664,hsa:146664,"MGAT5B, GnT-IX, GnT-VB; alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B
",11
DNAH2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:146754,hsa:146754,"DNAH2, DNAHC2, DNHD3, SPGF45; dynein axonemal heavy chain 2",1
PIK3R6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:146850,hsa:146850,"PIK3R6, C17orf38, HsT41028, p84_PIKAP, p87(PIKAP), p87PIKAP; phosphoinositide-3-kinase regulatory subunit 6",113
ADRA1B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147,hsa:147,"ADRA1B, ADRA1, ALPHA1BAR; adrenoceptor alpha 1B",22
NOTUM,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147111,hsa:147111,"NOTUM, hNOTUM; notum, palmitoleoyl-protein carboxylesterase
",19
WIPF2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147179,hsa:147179,"WIPF2, WICH, WIRE; WAS/WASL interacting protein family member 2",4
ZNF480,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147657,hsa:147657,ZNF480; zinc finger protein 480,3
ZNF534,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147658,hsa:147658,"ZNF534, KRBO3; zinc finger protein 534",3
ZNF578,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147660,hsa:147660,ZNF578; zinc finger protein 578,3
ZNF418,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147686,hsa:147686,"ZNF418, ZFP418; zinc finger protein 418",3
ZNF417,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147687,hsa:147687,ZNF417; zinc finger protein 417,3
ZNF548,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147694,hsa:147694,ZNF548; zinc finger protein 548,3
KLC3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147700,hsa:147700,"KLC3, KLC2, KLC2L, KLCt, KNS2B; kinesin light chain 3",43
ZNF560,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147741,hsa:147741,ZNF560; zinc finger protein 560,3
HIPK4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147746,hsa:147746,HIPK4; homeodomain interacting protein kinase 4,3
ZNF563,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147837,hsa:147837,ZNF563; zinc finger protein 563,3
ZNF420,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147923,hsa:147923,"ZNF420, APAK; zinc finger protein 420",3
ZNF565,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147929,hsa:147929,ZNF565; zinc finger protein 565,3
NLRP4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147945,hsa:147945,"NLRP4, CLR19.5, CT58, NALP4, PAN2, PYPAF4, RNH2; NLR family pyrin domain containing 4
",1
ZNF582,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147948,hsa:147948,ZNF582; zinc finger protein 582,3
ZNF583,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:147949,hsa:147949,ZNF583; zinc finger protein 583,3
ADRA1A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148,hsa:148,"ADRA1A, ADRA1C, ADRA1L1, ALPHA1AAR; adrenoceptor alpha 1A",36
TICAM1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148022,hsa:148022,"TICAM1, IIAE6, MyD88-3, PRVTIRB, TICAM-1, TRIF; toll like receptor adaptor molecule 1
",54
ZNF599,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148103,hsa:148103,ZNF599; zinc finger protein 599,3
ZNF558,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148156,hsa:148156,ZNF558; zinc finger protein 558,3
ZNF98,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148198,hsa:148198,"ZNF98, F7175, ZNF739; zinc finger protein 98",3
ZNF714,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148206,hsa:148206,ZNF714; zinc finger protein 714,3
ZNF555,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148254,hsa:148254,ZNF555; zinc finger protein 555,3
ZNF569,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148266,hsa:148266,"ZNF569, ZAP1, ZNF, Zfp74; zinc finger protein 569",3
ZNF570,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148268,hsa:148268,ZNF570; zinc finger protein 570,3
CREB3L4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148327,hsa:148327,"CREB3L4, AIBZIP, ATCE1, CREB3, CREB4, JAL, hJAL; cAMP responsive element binding protein 3 like 4",250
CTBP1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1487,hsa:1487,"CTBP1, BARS, HADDTS; C-terminal binding protein 1",4
HJV,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148738,hsa:148738,"HJV, HFE2, HFE2A, JH, RGMC; hemojuvelin BMP co-receptor
",1
B3GALNT2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:148789,hsa:148789,"B3GALNT2, B3GalNAc-T2, MDDGA11; beta-1,3-N-acetylgalactosaminyltransferase 2
",2
CTBP2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1488,hsa:1488,"CTBP2; C-terminal binding protein 2
",4
CTF1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1489,hsa:1489,"CTF1, CT-1, CT1; cardiotrophin 1",45
CTH,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1491,hsa:1491,"CTH, CGL, CSE; cystathionine gamma-lyase
",44
IL23R,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:149233,hsa:149233,IL23R; interleukin 23 receptor,98
CTLA4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1493,hsa:1493,"CTLA4, ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12; cytotoxic T-lymphocyte associated protein 4
",7
CLDN19,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:149461,hsa:149461,"CLDN19, HOMG5; claudin 19",241
CTNNA1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1495,hsa:1495,"CTNNA1, CAP102, MDPT2; catenin alpha 1",24
CTNNA2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1496,hsa:1496,"CTNNA2, CAP-R, CAPR, CDCBM9, CT114, CTNR; catenin alpha 2",24
CTNNB1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1499,hsa:1499,"CTNNB1, CTNNB, EVR7, MRD19, NEDSDV, armadillo; catenin beta 1
",259
AANAT,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:15,hsa:15,"AANAT, DSPS, SNAT; aralkylamine N-acetyltransferase
",7
ADRA2A,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:150,hsa:150,"ADRA2A, ADRA2, ADRA2R, ADRAR, ALPHA2AAR, ZNF32; adrenoceptor alpha 2A",8
CTNND1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1500,hsa:1500,"CTNND1, BCDS2, CAS, CTNND, P120CAS, P120CTN, p120, p120(CAS), p120(CTN); catenin delta 1
",26
IGSF5,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:150084,hsa:150084,"IGSF5, GSF5, JAM4; immunoglobulin superfamily member 5
",4
SIK1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:150094,hsa:150094,"SIK1, DEE30, MSK, SIK, SIK-1, SIK1B, SNF1LK; salt inducible kinase 1
",2
CTNND2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1501,hsa:1501,"CTNND2, GT24, NPRAP; catenin delta 2
",4
CTPS1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1503,hsa:1503,"CTPS1, CTPS, GATD5, GATD5A, IMD24; CTP synthase 1",29
SMYD1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:150572,hsa:150572,"SMYD1, BOP, KMT3D, ZMYND18, ZMYND22; SET and MYND domain containing 1",7
OR6B3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:150681,hsa:150681,"OR6B3, OR6B3P, OR6B3Q; olfactory receptor family 6 subfamily B member 3
",22
GPAT2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:150763,hsa:150763,"GPAT2, CT123; glycerol-3-phosphate acyltransferase 2, mitochondrial",23
CTSB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1508,hsa:1508,"CTSB, APPS, CPSB, RECEUP; cathepsin B
",9
CTSD,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1509,hsa:1509,"CTSD, CLN10, CPSD, HEL-S-130P; cathepsin D
",13
ADRA2B,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:151,hsa:151,"ADRA2B, ADRA2L1, ADRA2RL1, ADRARL1, ALPHA2BAR, FAME2, alpha-2BAR; adrenoceptor alpha 2B",8
PLB1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:151056,hsa:151056,"PLB1, PLB, PLB/LIP; phospholipase B1",156
CTSG,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1511,hsa:1511,"CTSG, CATG, CG; cathepsin G
",17
CTSH,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1512,hsa:1512,"CTSH, ACC-4, ACC-5, ACC4, ACC5, CPSB; cathepsin H",7
CTSK,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1513,hsa:1513,"CTSK, CTS02, CTSO, CTSO1, CTSO2, PKND, PYCD; cathepsin K",16
CTSL,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1514,hsa:1514,"CTSL, CATL, CTSL1, MEP; cathepsin L",12
GDF7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:151449,hsa:151449,"GDF7, BMP12; growth differentiation factor 7",11
CTSV,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1515,hsa:1515,"CTSV, CATL2, CTSL2, CTSU; cathepsin V",7
UPP2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:151531,hsa:151531,"UPP2, UDRPASE2, UP2, UPASE2; uridine phosphorylase 2",36
DTX3L,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:151636,hsa:151636,"DTX3L, BBAP, RNF143; deltex E3 ubiquitin ligase 3L",4
SGO1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:151648,hsa:151648,"SGO1, CAID, NY-BR-85, SGO, SGOL1; shugoshin 1
",1
CTSO,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1519,hsa:1519,"CTSO, CTSO1; cathepsin O",7
ADRA2C,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:152,hsa:152,"ADRA2C, ADRA2L2, ADRA2RL2, ADRARL2, ALPHA2CAR; adrenoceptor alpha 2C",8
CTSS,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1520,hsa:1520,"CTSS; cathepsin S
",21
CTSW,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1521,hsa:1521,"CTSW, LYPN; cathepsin W",7
PYDC2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:152138,hsa:152138,"PYDC2, POP2, cPOP2; pyrin domain containing 2
",1
CTSZ,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1522,hsa:1522,"CTSZ, CTSX; cathepsin Z",7
CX3CR1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1524,hsa:1524,"CX3CR1, CCRL1, CMKBRL1, CMKDR1, GPR13, GPRV28, V28; C-X3-C motif chemokine receptor 1",110
IGSF11,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:152404,hsa:152404,"IGSF11, BT-IgSF, BTIGSF, CT119, CXADRL1, Igsf13, VSIG3; immunoglobulin superfamily member 11
",1
MGAT4D,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:152586,hsa:152586,"MGAT4D, GnT1IP; MGAT4 family member D
",6
ZNF595,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:152687,hsa:152687,ZNF595; zinc finger protein 595,3
KLB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:152831,hsa:152831,"KLB, BKL; klotho beta
",1
ADRB1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:153,hsa:153,"ADRB1, ADRB1R, B1AR, BETA1AR, FNSS2, RHR; adrenoceptor beta 1",54
DAB2IP,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:153090,hsa:153090,"DAB2IP, AF9Q34, AIP-1, AIP1, DIP1/2; DAB2 interacting protein
",6
SLC38A9,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:153129,hsa:153129,"SLC38A9, URLC11; solute carrier family 38 member 9
",5
CYBA,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1535,hsa:1535,"CYBA, CGD4, p22-PHOX; cytochrome b-245 alpha chain
",4
MARVELD2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:153562,hsa:153562,"MARVELD2, DFNB49, MARVD2, MRVLDC2, Tric; MARVEL domain containing 2
",12
CYBB,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1536,hsa:1536,"CYBB, AMCBX2, CGD, CGDX, GP91-1, GP91-PHOX, GP91PHOX, IMD34, NOX2, p91-PHOX; cytochrome b-245 beta chain
",31
CYC1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1537,hsa:1537,"CYC1, MC3DN6, UQCR4; cytochrome c1",5
ADRB2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:154,hsa:154,"ADRB2, ADRB2R, ADRBR, B2AR, BAR, BETA2AR; adrenoceptor beta 2",76
CYLD,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1540,hsa:1540,"CYLD, BRSS, CDMT, CYLD1, CYLDI, EAC, FTDALS8, MFT, MFT1, SBS, TEM, USPL2; CYLD lysine 63 deubiquitinase
",13
RAET1L,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:154064,hsa:154064,"RAET1L, ULBP6; retinoic acid early transcript 1L",2
MBOAT1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:154141,hsa:154141,"MBOAT1, LPEAT1, LPLAT, LPLAT_1, LPSAT, OACT1, dJ434O11.1; membrane bound O-acyltransferase domain containing 1",80
CYP1A1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1543,hsa:1543,"CYP1A1, AHH, AHRR, CP11, CYP1, CYPIA1, P1-450, P450-C, P450DX; cytochrome P450 family 1 subfamily A member 1",468
CYP1A2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1544,hsa:1544,"CYP1A2, CP12, CYPIA2, P3-450, P450(PA); cytochrome P450 family 1 subfamily A member 2
",337
CYP1B1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1545,hsa:1545,"CYP1B1, ASGD6, CP1B, CYPIB1, GLC3A, P4501B1; cytochrome P450 family 1 subfamily B member 1
",140
AMOT,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:154796,hsa:154796,"AMOT; angiomotin
",9
CYP2A6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1548,hsa:1548,"CYP2A6, CPA6, CYP2A, CYP2A3, CYPIIA6, P450C2A, P450PB; cytochrome P450 family 2 subfamily A member 6",337
VKORC1L1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:154807,hsa:154807,VKORC1L1; vitamin K epoxide reductase complex subunit 1 like 1,4
AMOTL1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:154810,hsa:154810,"AMOTL1, JEAP; angiomotin like 1",6
CYP2A7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1549,hsa:1549,"CYP2A7, CPA7, CPAD, CYP2A, CYPIIA7, P450-IIA4; cytochrome P450 family 2 subfamily A member 7",337
ADRB3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:155,hsa:155,"ADRB3, BETA3AR; adrenoceptor beta 3",25
ZNF425,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:155054,hsa:155054,ZNF425; zinc finger protein 425,3
ZNF746,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:155061,hsa:155061,"ZNF746, PARIS; zinc finger protein 746",3
ATP6V0E2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:155066,hsa:155066,"ATP6V0E2, ATP6V0E2L, C7orf32; ATPase H+ transporting V0 subunit e2",6
CYP3A7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1551,hsa:1551,"CYP3A7, CP37, CYPIIIA7, P-450(HFL33), P-450111A7, P450-HFLA, P450HLp2; cytochrome P450 family 3 subfamily A member 7",156
CYP2A13,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1553,hsa:1553,"CYP2A13, CPAD, CYP2A, CYPIIA13; cytochrome P450 family 2 subfamily A member 13
",154
CYP2B6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1555,hsa:1555,"CYP2B6, CPB6, CYP2B, CYP2B7, CYP2B7P, CYPIIB6, EFVM, IIB1, P450; cytochrome P450 family 2 subfamily B member 6",349
CYP2C19,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1557,hsa:1557,"CYP2C19, CPCJ, CYP2C, CYPIIC17, CYPIIC19, P450C2C, P450IIC19; cytochrome P450 family 2 subfamily C member 19
",138
CYP2C8,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1558,hsa:1558,"CYP2C8, CPC8, CYP2C8DM, CYPIIC8, MP-12/MP-20; cytochrome P450 family 2 subfamily C member 8",265
CYP2C9,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1559,hsa:1559,"CYP2C9, CPC9, CYP2C, CYP2C10, CYPIIC9, P450-2C9, P450IIC9; cytochrome P450 family 2 subfamily C member 9",346
GRK2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:156,hsa:156,"GRK2, ADRBK1, BARK1, BETA-ARK1; G protein-coupled receptor kinase 2",829
CYP2C18,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1562,hsa:1562,"CYP2C18, CPCI, CYP2C, CYP2C17, P450-6B/29C, P450IIC17; cytochrome P450 family 2 subfamily C member 18",110
CYP2D7,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1564,hsa:1564,"CYP2D7, CYP2D, CYP2D6, CYP2D7AP, CYP2D7P, CYP2D7P1, CYP2D@, P450C2D, P450DB1, RNA40057; cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)",94
CYP2D6,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1565,hsa:1565,"CYP2D6, CPD6, CYP2D, CYP2D7AP, CYP2D7BP, CYP2D7P2, CYP2D8P2, CYP2DL1, CYPIID6, P450-DB1, P450C2D, P450DB1; cytochrome P450 family 2 subfamily D member 6
",94
GRK3,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:157,hsa:157,"GRK3, ADRBK2, BARK2; G protein-coupled receptor kinase 3
",829
CYP2E1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1571,hsa:1571,"CYP2E1, CPE1, CYP2E, P450-J, P450C2E; cytochrome P450 family 2 subfamily E member 1
",467
CYP2F1,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1572,hsa:1572,"CYP2F1, C2F1, CYP2F, CYPIIF1; cytochrome P450 family 2 subfamily F member 1",44
CYP2J2,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1573,hsa:1573,"CYP2J2, CPJ2, CYPIIJ2; cytochrome P450 family 2 subfamily J member 2
",284
RDH10,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:157506,hsa:157506,"RDH10, SDR16C4; retinol dehydrogenase 10",16
CYP3A4,gene,https://www.kegg.jp/dbget-bin/www_bget?hsa:1576,hsa:1576,"CYP3A4, CP33, CP34, CYP3A, CYP3A3, CYPIIIA3, CYPIIIA4, HLP, NF-25, P450C3, P450PCN1, VDDR3; cytochrome P450 family 3 subfamily A member 4
",453
